Provider Number,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
10148,Evergreen,AL,36401,CONECUH,4 out of 10,0 out of 9,4 out of 10,10 out of 10,0 out of 9,10 out of 10,4 out of 10,2 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,0 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,1 out of 9,4 out of 10,35,20
10149,Montgomery,AL,36117,MONTGOMERY,5 out of 10,2 out of 9,5 out of 10,7 out of 10,3 out of 9,7 out of 10,4 out of 10,2 out of 9,4 out of 10,8 out of 10,7 out of 9,8 out of 10,5 out of 10,4 out of 9,5 out of 10,2 out of 10,1 out of 9,2 out of 10,7 out of 10,7 out of 9,7 out of 10,6 out of 10,3 out of 9,6 out of 10,44,20
10150,Greenville,AL,36037,BUTLER,1 out of 10,0 out of 9,1 out of 10,9 out of 10,8 out of 9,9 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,0 out of 9,7 out of 10,5 out of 10,1 out of 9,5 out of 10,3 out of 10,3 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,31,18
10157,Muscle Shoals,AL,35661,COLBERT,3 out of 10,4 out of 9,4 out of 10,5 out of 10,4 out of 9,5 out of 10,1 out of 10,1 out of 9,1 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,19,17
10158,Russellville,AL,35653,FRANKLIN,2 out of 10,0 out of 9,2 out of 10,8 out of 10,0 out of 9,8 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,23,18
10164,Sylacauga,AL,35150,TALLADEGA,3 out of 10,1 out of 9,3 out of 10,6 out of 10,3 out of 9,6 out of 10,1 out of 10,2 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,9 out of 10,9 out of 9,9 out of 10,4 out of 10,0 out of 9,4 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,30,19
10168,Phenix City,AL,36867,RUSSELL,7 out of 10,2 out of 9,7 out of 10,9 out of 10,6 out of 9,9 out of 10,5 out of 10,0 out of 9,5 out of 10,4 out of 10,0 out of 9,4 out of 10,8 out of 10,6 out of 9,8 out of 10,8 out of 10,0 out of 9,8 out of 10,9 out of 10,6 out of 9,9 out of 10,8 out of 10,0 out of 9,8 out of 10,58,20
10169,Atmore,AL,36502,ESCAMBIA,4 out of 10,0 out of 9,4 out of 10,10 out of 10,0 out of 9,10 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,21,18
20001,Anchorage,AK,99508,ANCHORAGE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,6 out of 9,7 out of 10,4 out of 10,2 out of 9,4 out of 10,13,19
20006,Palmer,AK,99645,MATANUSKA-SUSITNA,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,7 out of 10,0 out of 9,7 out of 10,2 out of 10,0 out of 9,2 out of 10,16,18
20008,Juneau,AK,99801,JUNEAU,3 out of 10,2 out of 9,3 out of 10,3 out of 10,1 out of 9,3 out of 10,5 out of 10,1 out of 9,5 out of 10,2 out of 10,2 out of 9,2 out of 10,8 out of 10,0 out of 9,8 out of 10,5 out of 10,4 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,29,18
20012,Fairbanks,AK,99701,FAIRBANKS,3 out of 10,0 out of 9,3 out of 10,1 out of 10,2 out of 9,2 out of 10,7 out of 10,0 out of 9,7 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,3 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,10 out of 10,9 out of 9,10 out of 10,3 out of 10,1 out of 9,3 out of 10,35,20
20017,Anchorage,AK,99508,ANCHORAGE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,7,16
20018,Bethel,AK,99559,BETHEL,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,6 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,9 out of 10,9 out of 9,9 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,5 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,22,11
20024,Soldotna,AK,99669,KENAI-COOK INLET,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,0 out of 9,7 out of 10,1 out of 10,0 out of 9,1 out of 10,7 out of 10,5 out of 9,7 out of 10,2 out of 10,0 out of 9,2 out of 10,21,19
20026,Anchorage,AK,99508,ANCHORAGE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,1 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,3 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,11,13
30001,Phoenix,AZ,85031,MARICOPA,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,7,17
30002,Phoenix,AZ,850062666,MARICOPA,2 out of 10,2 out of 9,2 out of 10,1 out of 10,3 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,7 out of 9,7 out of 10,4 out of 10,2 out of 9,4 out of 10,26,13
30006,Tucson,AZ,85712,PIMA,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,6 out of 10,4 out of 9,6 out of 10,1 out of 10,1 out of 9,1 out of 10,11,14
30007,Cottonwood,AZ,863264124,YAVAPAI,5 out of 10,2 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,6 out of 10,4 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,8 out of 10,0 out of 9,8 out of 10,7 out of 10,3 out of 9,7 out of 10,32,18
30010,Tucson,AZ,85745,PIMA,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,9,13
30011,Tucson,AZ,85711,PIMA,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,9,13
30012,Prescott,AZ,86301,YAVAPAI,2 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,15,10
30013,Yuma,AZ,853647127,YUMA,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,9,16
30014,Phoenix,AZ,850202871,MARICOPA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,6 out of 9,6 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,11,14
30016,Casa Grande,AZ,85222,PINAL,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,5 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,16,12
30022,Phoenix,AZ,85008,MARICOPA,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,8,13
30023,Flagstaff,AZ,86002,COCONINO,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,4 out of 9,4 out of 10,1 out of 10,2 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,3 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,4 out of 9,5 out of 10,20,19
30024,Phoenix,AZ,850134496,MARICOPA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,8,17
30030,Phoenix,AZ,85015,MARICOPA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,4,17
30033,Payson,AZ,855415542,GILA,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,0 out of 9,7 out of 10,4 out of 10,4 out of 9,4 out of 10,1 out of 10,2 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,7 out of 10,5 out of 9,7 out of 10,3 out of 10,3 out of 9,3 out of 10,28,18
30036,Chandler,AZ,85224,MARICOPA,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,4 out of 9,7 out of 10,1 out of 10,0 out of 9,1 out of 10,14,15
30037,Phoenix,AZ,850063702,MARICOPA,0 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,4 out of 10,4 out of 9,4 out of 10,3 out of 10,4 out of 9,4 out of 10,2 out of 10,2 out of 9,2 out of 10,4 out of 10,4 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,21,19
30038,Scottsdale,AZ,85251,MARICOPA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,4,13
30043,Sierra Vista,AZ,85635,COCHISE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,10,12
30055,Kingman,AZ,86409,MOHAVE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,4,14
30061,Sun City,AZ,85351,MARICOPA,4 out of 10,2 out of 9,4 out of 10,0 out of 10,3 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,3 out of 10,1 out of 9,3 out of 10,5 out of 10,3 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,9 out of 10,9 out of 9,9 out of 10,5 out of 10,2 out of 9,5 out of 10,34,15
30062,Show Low,AZ,859017800,NAVAJO,1 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,4 out of 10,4 out of 9,4 out of 10,0 out of 10,2 out of 9,2 out of 10,2 out of 10,4 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,8 out of 10,5 out of 9,8 out of 10,4 out of 10,3 out of 9,4 out of 10,29,18
30064,Tucson,AZ,857245146,PIMA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,2,12
30065,Mesa,AZ,85202,MARICOPA,1 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,1 out of 10,2 out of 9,2 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,8 out of 9,8 out of 10,2 out of 10,1 out of 9,2 out of 10,22,14
30068,Safford,AZ,855464097,GRAHAM,3 out of 10,0 out of 9,3 out of 10,3 out of 10,1 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,8 out of 9,8 out of 10,3 out of 10,0 out of 9,3 out of 10,26,18
30069,Lake Havasu City,AZ,864035683,MOHAVE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2,11
30071,Ft. Defiance,AZ,865040649,APACHE,0 out of 10,5 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,5 out of 9,5 out of 10,22,15
30073,Tuba City,AZ,860450600,COCONINO,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0,7
30078,Phoenix,AZ,850165389,MARICOPA,0 out of 10,0 out of 9,0 out of 10,3 out of 10,2 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,5 out of 10,2 out of 9,5 out of 10,6 out of 10,2 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,19,14
30083,Phoenix,AZ,850322196,MARICOPA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,4 out of 9,4 out of 10,1 out of 10,3 out of 9,3 out of 10,10,16
30084,Chinle,AZ,865031010,APACHE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1,5
30085,Tucson,AZ,85741,PIMA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,8,14
30087,Scottsdale,AZ,85260,MARICOPA,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,4 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,14,17
30088,Mesa,AZ,852061797,MARICOPA,2 out of 10,2 out of 9,2 out of 10,0 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,4 out of 10,3 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,2 out of 10,0 out of 9,2 out of 10,24,15
30089,Glendale,AZ,853064696,MARICOPA,2 out of 10,3 out of 9,3 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,7 out of 9,7 out of 10,5 out of 10,4 out of 9,5 out of 10,25,16
30092,Phoenix,AZ,850274002,MARICOPA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,1 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,6,15
30093,Mesa,AZ,85202,MARICOPA,1 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,3 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,6 out of 9,6 out of 10,2 out of 10,1 out of 9,2 out of 10,19,16
30094,Glendale,AZ,853087101,MARICOPA,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,6 out of 9,6 out of 10,1 out of 10,2 out of 9,2 out of 10,10,15
30101,Bullhead City,AZ,86442,MOHAVE,1 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,5 out of 9,5 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,5 out of 9,5 out of 10,1 out of 10,3 out of 9,3 out of 10,20,15
30103,Phoenix,AZ,85054,MARICOPA,9 out of 10,5 out of 9,9 out of 10,6 out of 10,5 out of 9,6 out of 10,9 out of 10,8 out of 9,9 out of 10,8 out of 10,8 out of 9,8 out of 10,8 out of 10,3 out of 9,8 out of 10,5 out of 10,2 out of 9,5 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,65,20
30105,Mesa,AZ,85206,MARICOPA,5 out of 10,3 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,7 out of 10,6 out of 9,7 out of 10,6 out of 10,5 out of 9,6 out of 10,5 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,2 out of 9,6 out of 10,7 out of 10,3 out of 9,7 out of 10,37,16
30107,Mesa,AZ,85206,MARICOPA,9 out of 10,5 out of 9,9 out of 10,4 out of 10,0 out of 9,4 out of 10,10 out of 10,0 out of 9,10 out of 10,7 out of 10,2 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,67,20
30108,Phoenix,AZ,85015,MARICOPA,8 out of 10,5 out of 9,8 out of 10,2 out of 10,0 out of 9,2 out of 10,10 out of 10,0 out of 9,10 out of 10,4 out of 10,0 out of 9,4 out of 10,7 out of 10,0 out of 9,7 out of 10,10 out of 10,0 out of 9,10 out of 10,8 out of 10,7 out of 9,8 out of 10,8 out of 10,3 out of 9,8 out of 10,57,20
30110,Goodyear,AZ,85395,MARICOPA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,5,13
30111,Tucson,AZ,85713,PIMA,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,14,12
30112,Chandler,AZ,85225,MARICOPA,10 out of 10,9 out of 9,10 out of 10,7 out of 10,4 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,0 out of 9,5 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,8 out of 9,9 out of 10,71,20
30114,Oro Valley,AZ,85755,PIMA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,3 out of 9,7 out of 10,4 out of 10,0 out of 9,4 out of 10,12,16
30115,Phoenix,AZ,85037,MARICOPA,2 out of 10,2 out of 9,2 out of 10,2 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,1 out of 9,2 out of 10,4 out of 10,2 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,7 out of 10,6 out of 9,7 out of 10,4 out of 10,0 out of 9,4 out of 10,26,20
30117,Fort Mohave,AZ,86426,MOHAVE,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,1 out of 9,3 out of 10,1 out of 10,4 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,15,12
30118,Prescott Valley,AZ,86314,YAVAPAI,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,7 out of 10,5 out of 9,7 out of 10,3 out of 10,0 out of 9,3 out of 10,16,18
30119,Gilbert,AZ,85296,MARICOPA,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,1 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,3 out of 9,5 out of 10,6 out of 10,2 out of 9,6 out of 10,21,16
30120,Gilbert,AZ,85295,MARICOPA,8 out of 10,8 out of 9,8 out of 10,0 out of 10,4 out of 9,4 out of 10,6 out of 10,5 out of 9,6 out of 10,4 out of 10,5 out of 9,5 out of 10,8 out of 10,8 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,8 out of 10,6 out of 9,8 out of 10,59,19
30121,Mesa,AZ,85209,MARICOPA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1,13
